Region_code,Region_label,Urban_code,Urban_label,UrbanType,Area_code,Area_label,Population,Victimisations,Rate
2,Auckland,3,Western Auckland Zone,Main,513212,Starling Park,3040,8,0.5
15,Southland,502,Rural (Incl.some Off Shore Islands),Rural,613000,Stewart Island,400,3,1.4
2,Auckland,2,Northern Auckland Zone,Main,506002,Stillwater,920,0,
14,Otago,501,Rural Centre,Rural,606600,Stirling,320,0,
2,Auckland,4,Central Auckland Zone,Main,517202,Stonefields,2930,1,0.1
8,Manawatu-Wanganui,16,Palmerston North,Main,560301,Stoney Creek,860,1,0.2
7,Taranaki,249,Stratford,Minor,553102,Stratford East,2270,14,1.2
7,Taranaki,249,Stratford,Minor,553101,Stratford West,3340,25,1.4
14,Otago,502,Rural (Incl.some Off Shore Islands),Rural,602600,Strath Taieri,430,0,
15,Southland,24,Invercargill,Main,611602,Strathern,2480,13,1
3,Waikato,102,Tokoroa,Secondary,535370,Strathmore,2180,14,1.2
9,Wellington,20,Wellington Zone,Main,577102,Strathmore Park,3940,9,0.4
13,Canterbury,22,Christchurch,Main,592100,Strowan,3980,5,0.2
7,Taranaki,14,New Plymouth,Main,552500,Struan Park,5130,6,0.2
14,Otago,23,Dunedin,Main,603100,Stuart St-Frederick St,3360,154,8.8
2,Auckland,3,Western Auckland Zone,Main,513220,Sturges North,7830,31,0.8
13,Canterbury,22,Christchurch,Main,590604,Styx,2270,7,0.6
13,Canterbury,22,Christchurch,Main,588200,Styx Mill,3350,8,0.5
4,BayofPlenty,9,Tauranga,Main,538202,Sulphur Point,30,4,25.5
13,Canterbury,22,Christchurch,Main,596200,Sumner,3870,10,0.5
2,Auckland,2,Northern Auckland Zone,Main,508620,Sunnybrae,3510,11,0.6
4,BayofPlenty,10,Rotorua,Main,539500,Sunnybrook,2000,9,0.9
2,Auckland,5,Southern Auckland Zone,Main,522820,Sunnyhills,3690,7,0.4
2,Auckland,2,Northern Auckland Zone,Main,508520,Sunnynook,7220,7,0.2
2,Auckland,3,Western Auckland Zone,Main,511800,Sunnyvale,4480,8,0.3
14,Otago,117,Queenstown,Secondary,609023,Sunshine Bay,2590,4,0.3
8,Manawatu-Wanganui,220,Taumarunui,Minor,532903,Sunshine-Hospital Hill,540,0,
2,Auckland,4,Central Auckland Zone,Main,515431,Surrey Crescent,3240,22,1.3
2,Auckland,3,Western Auckland Zone,Main,513101,Swanson,1360,10,1.4
2,Auckland,3,Western Auckland Zone,Main,513102,Swanson South,1210,1,0.2
3,Waikato,6,Hamilton Zone,Main,529000,Swarbrick,5100,28,1
3,Waikato,7,Cambridge Zone,Main,527134,Swayne,1610,2,0.2
13,Canterbury,22,Christchurch,Main,594600,Sydenham,6280,70,2.1
3,Waikato,6,Hamilton Zone,Main,527005,Sylvester,2850,2,0.1
3,Waikato,502,Rural (Incl.some Off Shore Islands),Rural,531600,Taharoa,250,0,
6,Hawke'sBay,502,Rural (Incl.some Off Shore Islands),Rural,541503,Taharua,60,1,3.2
4,BayofPlenty,502,Rural (Incl.some Off Shore Islands),Rural,536614,Tahawai,1800,5,0.5
2,Auckland,502,Rural (Incl.some Off Shore Islands),Rural,506614,Tahekeroa,4140,3,0.1
17,Nelson,21,Nelson,Main,583100,Tahuna Hills,2400,2,0.2
17,Nelson,21,Nelson,Main,583000,Tahunanui,2230,21,1.8
3,Waikato,502,Rural (Incl.some Off Shore Islands),Rural,534500,Tahuroa,2820,1,0.1
14,Otago,23,Dunedin,Main,604901,Taiaroa-Cape Saunders,470,1,0.4
14,Otago,502,Rural (Incl.some Off Shore Islands),Rural,602500,Taieri,3010,4,0.3
8,Manawatu-Wanganui,258,Taihape,Minor,559400,Taihape,1640,21,2.4
1,Northland,201,Taipa Bay-Mangonui,Minor,500203,Taipa Bay-Mangonui,1840,12,1.2
3,Waikato,224,Tairua,Minor,533400,Tairua,1330,2,0.3
9,Wellington,18,Lower Hutt Zone,Main,568201,Taita North,2750,11,0.8
9,Wellington,18,Lower Hutt Zone,Main,568202,Taita South,3100,23,1.4
13,Canterbury,501,Rural Centre,Rural,587905,Taitapu,710,1,0.3
9,Wellington,20,Wellington Zone,Main,575400,Taitville,510,0,
16,Tasman,270,Takaka,Minor,581602,Takaka,1290,17,2.5
2,Auckland,5,Southern Auckland Zone,Main,523911,Takanini North,3980,42,2
2,Auckland,5,Southern Auckland Zone,Main,523912,Takanini South,5630,56,1.9
2,Auckland,5,Southern Auckland Zone,Main,523920,Takanini West,4910,22,0.9
6,Hawke'sBay,501,Rural Centre,Rural,549000,Takapau,530,4,1.4
9,Wellington,20,Wellington Zone,Main,573525,Takapu,340,0,
2,Auckland,2,Northern Auckland Zone,Main,508010,Takapuna Central,3390,56,3.2
8,Manawatu-Wanganui,16,Palmerston North,Main,562310,Takaro,5470,28,1
3,Waikato,6,Hamilton Zone,Main,527131,Tamahere-Tauwhare,6110,2,0.1
2,Auckland,4,Central Auckland Zone,Main,520601,Tamaki,5010,37,1.4
2,Auckland,506,Inlet-not in TA,Rural,617703,Tamaki Strait,20,1,9.6
5,Gisborne,11,Gisborne,Main,544802,Tamarau,2560,24,1.8
6,Hawke'sBay,12,Napier Zone,Main,547001,Tamatea North,2600,16,1.2
6,Hawke'sBay,12,Napier Zone,Main,547002,Tamatea South,2690,8,0.6
4,BayofPlenty,501,Rural Centre,Rural,542100,Taneatua,790,3,0.7
8,Manawatu-Wanganui,502,Rural (Incl.some Off Shore Islands),Rural,561100,Tangimoana,220,0,
8,Manawatu-Wanganui,502,Rural (Incl.some Off Shore Islands),Rural,554900,Tangiwai,1280,2,0.3
6,Hawke'sBay,502,Rural (Incl.some Off Shore Islands),Rural,545811,Tangoio,720,3,0.8
2,Auckland,3,Western Auckland Zone,Main,511001,Tangutu,3410,10,0.6
14,Otago,501,Rural Centre,Rural,607600,Tapanui,770,0,
3,Waikato,502,Rural (Incl.some Off Shore Islands),Rural,535232,Tapapa,1030,3,0.6
16,Tasman,501,Rural Centre,Rural,581844,Tapawera,390,3,1.5
6,Hawke'sBay,12,Napier Zone,Main,547200,Taradale North,5600,6,0.2
6,Hawke'sBay,12,Napier Zone,Main,547300,Taradale South,5580,14,0.5
